;Справочник кодов подразд.ФМС
КодПодрПВС;Печать
1;011-001
2;012-001
3;012-002
4;012-003
5;012-004
6;012-005
7;012-006
8;012-007
9;012-008
10;013-001
24;021-001
25;022-001
26;022-002
27;022-003
28;022-004
29;022-005
30;022-006
31;022-007
32;022-008
33;022-009
34;022-010
35;022-011
36;022-012
37;022-013
38;022-014
39;022-015
40;022-016
41;022-017
42;022-018
43;022-019
44;022-020
45;022-021
46;022-022
47;022-023
48;022-024
49;022-025
50;022-026
51;022-027
52;022-028
53;022-029
54;022-030
55;022-031
56;022-032
57;022-033
58;022-034
59;022-035
60;022-036
61;022-037
62;022-038
63;022-039
64;022-040
65;022-041
66;022-042
67;022-043
68;022-044
69;022-045
70;022-046
71;022-047
72;022-048
73;022-049
74;022-050
75;022-051
76;022-052
77;022-053
78;022-054
79;022-055
80;022-056
81;022-057
82;022-058
83;022-059
84;022-060
85;022-061
86;022-062
87;022-063
88;022-064
89;022-065
90;022-066
91;022-067
92;022-068
93;022-069
94;022-070
95;022-071
96;022-072
97;022-073
98;022-074
99;023-001
100;023-002
101;023-003
102;023-004
103;023-005
104;023-006
105;023-007
106;023-008
107;023-009
108;023-010
109;023-011
110;023-012
111;023-013
112;031-001
113;032-001
114;032-002
115;032-003
116;032-004
117;032-005
118;032-006
119;032-007
120;032-008
121;032-009
122;032-010
123;032-011
124;032-012
125;032-013
126;032-014
127;032-015
128;032-016
129;032-017
130;032-018
131;032-019
132;032-020
133;032-021
134;032-022
135;032-023
136;032-024
137;032-025
138;033-001
139;033-002
140;033-003
141;033-004
142;033-005
143;033-006
144;033-007
145;033-008
146;033-009
147;033-010
148;033-011
149;033-012
150;033-013
151;033-014
152;033-015
153;033-016
154;033-017
155;033-018
156;033-019
157;033-020
11;041-001
12;042-001
13;042-002
14;042-003
15;042-004
16;042-005
17;042-006
18;042-007
19;042-008
20;042-009
21;042-010
22;042-011
23;043-001
158;051-001
159;052-001
160;052-002
161;052-003
162;052-004
163;052-005
164;052-006
165;052-007
166;052-008
167;052-009
168;052-010
169;052-011
170;052-012
171;052-013
172;052-014
173;052-015
174;052-016
175;052-017
176;052-018
177;052-019
178;052-020
179;052-021
180;052-022
181;052-023
182;052-024
183;052-025
184;052-026
185;052-027
186;052-028
187;052-029
188;052-030
189;052-031
190;052-032
191;052-033
192;052-034
193;052-035
194;052-036
195;052-037
196;052-038
197;052-039
198;052-040
199;052-041
200;052-042
201;052-043
202;052-044
203;052-045
204;052-046
205;052-047
206;052-048
207;052-049
208;052-050
209;052-051
210;052-052
211;052-053
212;053-001
213;053-002
214;053-003
215;053-004
216;053-005
217;053-006
218;053-007
219;053-008
220;053-009
221;061-001
222;062-001
223;062-002
224;062-003
225;062-004
226;062-005
227;062-006
228;063-001
229;071-001
230;072-001
231;072-002
232;072-003
233;072-004
234;072-005
235;072-006
236;072-007
237;072-008
238;072-009
239;072-010
240;072-011
241;072-012
242;073-001
243;081-001
244;082-001
245;082-002
246;082-003
247;082-004
248;082-005
249;082-006
250;082-007
251;082-008
252;082-009
253;082-010
254;082-011
255;082-012
256;082-013
257;082-014
258;083-001
259;091-001
260;092-001
261;092-002
262;092-003
263;092-004
264;092-005
265;092-006
266;092-007
267;092-008
268;092-009
269;092-010
270;093-001
271;093-002
272;101-001
273;102-001
274;102-002
275;102-003
276;102-004
277;102-005
278;102-006
279;102-007
280;102-008
281;102-009
282;102-010
283;102-011
284;102-012
285;102-013
286;102-014
287;102-015
288;102-016
289;102-017
290;103-001
291;111-001
292;112-001
293;112-002
294;112-003
295;112-004
296;112-005
297;112-006
298;112-007
299;112-008
300;112-009
301;112-010
302;112-011
303;112-012
304;112-013
305;112-014
306;112-015
307;112-016
308;112-017
309;112-018
310;112-019
311;112-020
312;112-021
313;113-001
314;113-002
315;113-003
316;113-004
317;113-005
318;113-006
319;121-001
320;122-001
321;122-002
322;122-003
323;122-004
324;122-005
325;122-006
326;122-007
327;122-008
328;122-009
329;122-010
330;122-011
331;122-012
332;122-013
333;122-014
334;122-015
335;122-016
336;122-017
337;123-001
338;123-002
339;123-003
340;123-004
341;131-001
342;132-001
343;132-002
344;132-003
345;132-004
346;132-005
347;132-006
348;132-007
349;132-008
350;132-009
351;132-010
352;132-011
353;132-012
354;132-013
355;132-014
356;132-015
357;132-016
358;132-017
359;132-018
360;132-019
361;132-020
362;132-021
363;132-022
364;132-023
365;132-024
366;132-025
367;133-001
368;133-002
369;141-001
370;142-001
371;142-002
372;142-003
373;142-004
374;142-005
375;142-006
376;142-007
377;142-008
378;142-009
379;142-010
380;142-011
381;142-012
382;142-013
383;142-014
384;142-015
385;142-016
386;142-017
387;142-018
388;142-019
389;142-020
390;142-021
391;142-022
392;142-023
393;142-024
394;142-025
395;142-026
396;142-027
397;142-028
398;142-029
399;142-030
400;142-031
401;142-032
402;142-033
403;142-034
429;142-035
404;143-001
405;143-002
406;143-003
407;143-004
408;143-005
409;143-006
410;143-007
411;143-008
412;143-009
413;143-010
414;143-011
415;143-012
416;143-013
417;143-014
418;143-015
419;143-016
420;143-017
421;143-018
422;143-019
423;143-020
424;143-021
425;143-022
426;143-023
427;143-024
428;143-025
430;151-001
431;152-001
432;152-002
433;152-003
434;152-004
435;152-005
436;152-006
437;152-007
438;152-008
439;152-009
440;152-010
441;152-011
442;152-012
443;153-001
444;161-001
445;162-001
446;162-002
447;162-003
448;162-004
449;162-005
450;162-006
451;162-007
452;162-008
453;162-009
454;162-010
455;162-011
456;162-012
457;162-013
458;162-014
459;162-015
460;162-016
461;162-017
462;162-018
463;162-019
464;162-020
465;162-021
466;162-022
467;162-023
468;162-024
469;162-025
470;162-026
471;162-027
472;162-028
473;162-029
474;162-030
475;162-031
476;162-032
477;162-033
478;162-034
479;162-035
480;162-036
481;162-037
482;162-038
483;162-039
484;162-040
485;162-041
486;162-042
487;162-043
488;162-044
489;162-045
490;162-046
491;162-047
492;162-048
493;162-049
494;162-050
495;162-051
496;162-052
497;162-053
498;162-054
499;162-055
500;162-056
501;162-057
502;162-058
503;162-059
504;162-060
505;162-061
506;163-001
507;163-002
508;163-003
509;163-004
510;163-005
511;163-006
512;171-001
513;172-001
514;172-002
515;172-003
516;172-004
517;172-005
518;172-006
519;172-007
520;172-008
521;172-009
522;172-010
523;172-011
524;172-012
525;172-013
526;172-014
527;172-015
528;172-016
529;172-017
530;172-018
531;173-001
532;181-001
533;182-001
534;182-002
535;182-003
536;182-004
537;182-005
538;182-006
539;182-007
540;182-008
541;182-009
542;182-010
543;182-011
544;182-012
545;182-013
546;182-014
547;182-015
548;182-016
549;182-017
550;182-018
551;182-019
552;182-020
553;182-021
554;182-022
555;182-023
556;182-024
557;182-025
558;182-026
559;182-027
560;182-028
561;182-029
562;182-030
563;182-031
564;182-032
565;183-001
566;191-001
567;192-001
568;192-002
569;192-003
570;192-004
571;192-005
572;192-006
573;192-007
574;192-008
575;192-009
576;192-010
577;192-011
578;192-012
579;192-013
580;192-014
581;193-001
582;201-001
3697;202-000
583;202-001
3698;202-002
3699;202-003
3700;202-004
3701;202-005
3702;202-006
3703;202-007
3704;202-008
3706;202-009
3707;202-010
3708;202-011
3709;202-012
3711;202-013
3712;202-014
3713;202-015
3714;202-016
3715;202-017
3705;203-000
584;203-001
585;211-001
586;212-001
587;212-002
588;212-003
589;212-004
590;212-005
591;212-006
592;212-007
593;212-008
594;212-009
595;212-010
596;212-011
597;212-012
598;212-013
599;212-014
600;212-015
601;212-016
602;212-017
603;212-018
604;212-019
605;212-020
606;212-021
607;212-022
608;212-023
609;212-024
610;212-025
611;212-026
612;213-001
613;213-002
614;213-003
615;221-001
616;222-001
617;222-002
618;222-003
619;222-004
620;222-005
621;222-006
622;222-007
623;222-008
624;222-009
625;222-010
626;222-011
627;222-012
628;222-013
629;222-014
630;222-015
631;222-016
632;222-017
633;222-018
634;222-019
635;222-020
636;222-021
637;222-022
638;222-023
639;222-024
640;222-025
641;222-026
642;222-027
643;222-028
644;222-029
645;222-030
646;222-031
647;222-032
648;222-033
649;222-034
650;222-035
651;222-036
652;222-037
653;222-038
654;222-039
655;222-040
656;222-041
657;222-042
658;222-043
659;222-044
660;222-045
661;222-046
662;222-047
663;222-048
664;222-049
665;222-050
666;222-051
667;222-052
668;222-053
669;222-054
670;222-055
671;222-056
672;222-057
673;222-058
674;222-059
675;222-060
676;222-061
677;222-062
678;222-063
679;222-064
680;222-065
681;222-066
682;222-067
683;222-068
684;222-069
685;222-070
686;222-071
687;222-072
688;222-073
689;223-001
690;223-002
691;223-003
692;223-004
693;223-005
694;223-006
695;223-007
696;231-001
697;231-002
698;232-001
699;232-002
700;232-003
701;232-004
702;232-005
703;232-006
704;232-007
705;232-008
706;232-009
707;232-010
708;232-011
709;232-012
710;232-013
711;232-014
712;232-015
713;232-016
714;232-017
715;232-018
716;232-019
717;232-020
718;232-021
719;232-022
720;232-023
721;232-024
722;232-025
723;232-026
724;232-027
725;232-028
726;232-029
727;232-030
728;232-031
729;232-032
730;232-033
731;232-034
732;232-035
733;232-036
734;232-037
735;232-038
736;232-039
737;232-040
738;232-041
739;232-042
740;232-043
741;232-044
742;232-045
743;232-046
744;232-047
745;232-048
746;232-049
747;232-050
748;232-051
749;232-052
750;232-053
751;232-054
752;232-055
753;232-056
754;233-001
755;233-002
756;233-003
757;233-004
758;233-005
759;233-006
760;233-007
761;233-008
762;233-009
763;233-010
764;233-011
765;233-012
766;233-013
767;233-014
768;233-015
769;233-016
770;233-017
771;233-018
772;233-019
773;233-020
774;233-021
775;233-022
776;233-023
777;233-024
778;233-025
779;233-026
780;233-027
781;233-028
782;233-029
783;233-030
784;233-031
785;233-032
786;233-033
787;233-034
788;233-035
789;233-036
790;233-037
791;233-038
792;233-039
793;233-040
794;233-041
795;233-042
796;233-043
797;233-044
798;233-045
799;233-046
800;233-047
801;233-048
802;233-049
803;233-050
804;233-051
805;233-052
806;233-053
807;233-054
808;233-055
809;233-056
810;233-057
811;233-058
812;233-059
813;233-060
814;233-061
815;233-062
816;233-063
817;233-064
818;233-065
819;233-066
820;233-067
821;233-068
822;241-001
823;242-001
824;242-002
825;242-003
826;242-004
827;242-005
828;242-006
829;242-007
830;242-008
831;242-009
832;242-010
833;242-011
834;242-012
835;242-013
836;242-014
837;242-015
838;242-016
839;242-017
840;242-018
841;242-019
842;242-020
843;242-021
844;242-022
845;242-023
846;242-024
847;242-025
848;242-026
849;242-027
850;242-028
851;242-029
852;242-030
853;242-031
854;242-032
855;242-033
856;242-034
857;242-035
858;242-036
859;242-037
860;242-038
861;242-039
862;242-040
863;242-041
864;242-042
865;242-043
866;242-044
867;242-045
868;242-046
869;242-047
870;242-048
871;242-049
872;242-050
873;242-051
874;242-052
875;242-053
876;242-054
877;242-055
878;242-056
879;242-057
880;242-058
881;242-059
882;242-060
883;242-061
884;242-062
885;243-001
886;243-002
887;243-003
888;243-004
889;243-005
890;243-006
891;243-007
892;243-008
893;243-009
894;243-010
895;243-011
896;243-012
897;243-013
898;243-014
899;251-001
900;252-001
901;252-002
902;252-003
903;252-004
904;252-005
905;252-006
906;252-007
907;252-008
908;252-009
909;252-010
910;252-011
911;252-012
912;252-013
913;252-014
914;252-015
915;252-016
916;252-017
917;252-018
918;252-019
919;252-020
920;252-021
921;252-022
922;252-023
923;252-024
924;252-025
925;252-026
926;252-027
927;252-028
928;252-029
929;252-030
930;252-031
931;252-032
932;252-033
933;252-034
934;252-035
935;252-036
936;252-037
937;252-038
938;253-001
939;253-002
940;253-003
941;253-004
942;253-005
943;253-006
944;253-007
945;253-008
946;253-009
947;253-010
948;253-011
949;253-012
950;253-013
951;253-014
952;253-015
953;253-016
954;253-017
955;253-018
956;253-019
957;253-020
958;253-021
959;253-022
960;253-023
961;261-001
962;262-001
963;262-002
964;262-003
965;262-004
966;262-005
967;262-006
968;262-007
969;262-008
970;262-009
971;262-010
972;262-011
973;262-012
974;262-013
975;262-014
976;262-015
977;262-016
978;262-017
979;262-018
980;262-019
981;262-020
982;262-021
983;262-022
984;262-023
985;262-024
986;262-025
987;262-026
988;262-027
989;262-028
990;262-029
991;262-030
992;262-031
993;262-032
994;262-033
995;262-034
996;262-035
997;263-001
998;263-002
999;271-001
1000;272-001
1001;272-002
1002;272-003
1003;272-004
1004;272-005
1005;272-006
1006;272-007
1007;272-008
1008;272-009
1009;272-010
1010;272-011
1011;272-012
1012;272-013
1013;272-014
1014;272-015
1015;272-016
1016;272-017
1017;272-018
1018;272-019
1019;272-020
1020;272-021
1021;272-022
1022;272-023
1023;272-024
1024;272-025
1025;272-026
1026;273-001
1027;273-002
1028;273-003
1029;273-004
1030;273-005
1031;273-006
1032;273-007
1033;273-008
1034;273-009
1035;273-010
1036;273-011
1037;273-012
1038;273-013
1039;273-014
1040;273-015
1041;273-016
1042;273-017
1043;273-018
1044;273-019
1045;273-020
1046;273-021
1047;273-022
1048;273-023
1049;273-024
1050;273-025
1051;273-026
1052;273-027
1053;273-028
1054;273-029
1055;273-030
1056;273-031
1057;273-032
1058;273-033
1059;281-001
1060;282-001
1061;282-002
1062;282-003
1063;282-004
1064;282-005
1065;282-006
1066;282-007
1067;282-008
1068;282-009
1069;282-010
1070;282-011
1071;282-012
1072;282-013
1073;282-014
1074;282-015
1075;282-016
1076;282-017
1077;282-018
1078;282-019
1079;282-020
1080;282-021
1081;282-022
1082;282-023
1083;282-024
1084;282-025
1085;283-001
1086;283-002
1087;283-003
1088;283-004
1089;283-005
1090;283-006
1091;283-007
1092;283-008
1093;283-009
1094;283-010
1095;283-011
1096;291-001
1097;292-001
1098;292-002
1099;292-003
1100;292-004
1101;292-005
1102;292-006
1103;292-007
1104;292-008
1105;292-009
1106;292-010
1107;292-011
1108;292-012
1109;292-013
1110;292-014
1111;292-015
1112;292-016
1113;292-017
1114;292-018
1115;292-019
1116;292-020
1117;292-021
1118;292-022
1119;292-023
1120;292-024
1121;292-025
1122;292-026
1123;292-027
1124;292-028
1125;292-029
1126;292-030
1127;292-031
1128;293-001
1129;301-001
1130;302-001
1131;302-002
1132;302-003
1133;302-004
1134;302-005
1135;302-006
1136;302-007
1137;302-008
1138;302-009
1139;302-010
1140;302-011
1141;302-012
1142;302-013
1143;302-014
1144;302-015
1145;302-016
1146;302-017
1147;302-018
1148;302-019
1149;302-020
1150;302-021
1151;302-022
1152;302-023
1153;302-024
1154;302-025
1155;302-026
1156;303-001
1157;303-002
1158;303-003
1159;303-004
1160;311-001
1161;312-001
1162;312-002
1163;312-003
1164;312-004
1165;312-005
1166;312-006
1167;312-007
1168;312-008
1169;312-009
1170;312-010
1171;312-011
1172;312-012
1173;312-013
1174;312-014
1175;312-015
1176;312-016
1177;312-017
1178;312-018
1179;312-019
1180;312-020
1181;312-021
1182;312-022
1183;312-023
1184;312-024
1185;312-025
1186;312-026
1187;313-001
1188;313-002
1189;313-003
1190;313-004
1191;313-005
1192;313-006
