;;ОКОПФ;
КодПравФрм;ОКОПФ;Название;СокрНазв.
1;48;ХОЗЯЙСТВЕННОЕ ТОВАРИЩЕСТВО И ОБЩЕСТВО;Х/О
2;51;ПОЛНОЕ ТОВАРИЩЕСТВО;П/Т
3;64;ТОВАРИЩЕСТВО НА ВЕРЕ;К/Т
4;65;ОБЩЕСТВО С ОГРАНИЧЕНОЙ ОТВЕТСТВЕННОСТЬЮ;ООО
5;66;ОБЩЕСТВО С ДОПОЛНИТЕЛЬНОЙ ОТВЕТСТВЕННОСТЬЮ;ОДО
6;60;АКЦИОНЕРНОЕ ОБЩЕСТВО;АО
7;52;ПРОИЗВОДСТВЕННЫЕ КООПЕРАТИВЫ;КООПЕРАТИВ
8;;ПРОИЗВОДСТВЕННЫЕ ПРЕДПРИЯТИЯ ИНДИВИДУАЛЬНЫЕ;ИПП
9;;ПРОИЗВОДСТВЕННЫЕ ПРЕДПРИЯТИЯ СЕМЕЙНЫЕ;СЕМЕЙНОЕ П/П
10;40;УНИТАРНОЕ ПРЕДПРИЯТИЕ;МУП
11;;ПРОИЗВОДСТВЕННЫЕ ПРЕДПРИЯТИЯ СОВМЕСТНЫЕ;СОВМЕСТНОЕ П/П
12;;ПРОИЗВОДСТВЕННЫЕ ПРЕДПРИЯТИЯ ИН.ГР.И ЮР.ЛИЦ;П/П ИН.ГР.И ЮР.ЛИЦ
13;;МАЛОЕ ПРЕДПРИЯТИЕ;МП
14;;КОЛЛЕКТИВНЫЕ И АРЕНДНЫЕ ПРЕДПРИЯТИЯ;КП/АП
15;93;ОБЪЕДИНЕНИЕ ЮР.ЛИЦ (АССОЦИАЦИИ И СОЮЗЫ);ДО
16;;ОРГАНЫ ГОСУДАРСТВЕННОЙ ВЛАСТИ И УПРАВЛЕНИЯ;ГУ
17;83;ОБЩЕСТВЕННЫЕ И РЕЛИГИОЗНЫЕ ОРГАНИЗАЦИИ;ОО/РО
18;;БЛАГОТВОРИТЕЛЬНЫЕ И ИНЫЕ ОБЩЕСТВЕННЫЕ ФОНДЫ;ФОНД
19;;ИНДИВИДУАЛЬНОЕ ЧАСТНОЕ ПРЕДПРИЯТИЕ;ИЧП
20;47;ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО;ОАО
21;67;ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО;ЗАО
22;91;ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ;ИП
23;39;КОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ;КО
24;41;УНИТ.ПРЕДПРИЯТИЯ, ОСН-ЫЕ НА ПРАВЕ ОПЕРАТ. УПР-НИЯ;УП/ОУ
25;42;УНИТ.ПРЕДПРИЯТИЯ, ОСН-ЫЕ НА ПРАВЕ ХОЗ. ВЕДЕНИЯ;УП/ХВ
26;53;КРЕСТЬЯНСКОЕ (ФЕРМЕРСКОЕ) ХОЗЯЙСТВО;КФХ
27;68;ДОЧЕРНИЕ УНИТАРНЫЕ ПРЕДПРИЯТИЯ;ДУП
28;70;НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ;НКО
29;76;САД.,ОГОРОД.ИЛИ ДАЧНОЕ НЕКОММЕРЧЕСКОЕ ТОВАРИЩЕСТВО;С./0. ИЛИ Д.НКТ
30;77;АССОЦИАЦИЯ КРЕСТЬЯНСКИХ(ФЕРМЕРСКИХ) ХОЗЯЙСТВ;АКФХ
31;78;ОРГАНЫ ОБЩЕСТВЕННОЙ САМОДЕЯТЕЛЬНОСТИ;ООС
32;79;ФИНАНСОВО-ПРОМЫШЛЕННЫЕ ГРУППЫ;ФПГ
33;80;ТЕРРИТОРИАЛЬНЫЕ ОБЩЕСТВЕННЫЕ САМОУПРАВЛЕНИЯ;ТОС
34;81;УЧРЕЖДЕНИЯ;УЧР
35;82;ГОСУДАРСТВЕННЫЕ КОРПОРАЦИИ;ГОСК
36;84;ОБЩЕСТВЕННЫЕ ДВИЖЕНИЯ;ОД
37;85;ПОТРЕБИТЕЛЬСКИЕ КООПЕРАТИВЫ;ПК
38;87;ПРОСТЫЕ ТОВАРИЩЕСТВА;ПТ
39;88;ФОНДЫ;ФОНД
40;89;ПРОЧИЕ НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ;ПНО
41;90;ПРЕДСТАВИТЕЛЬСТВА И ФИЛИАЛЫ;ПР/ФИЛИАЛ
42;92;ПАЕВЫЕ ИНВЕСТИЦИОННЫЕ ФОНДЫ;ПИФ
43;94;ТОВАРИЩЕСТВА СОБСТВЕННИКОВ ЖИЛЬЯ;ТСЖ
44;96;НЕКОММЕРЧЕСКИЕ ПАРТНЕРСТВА;НКП
45;97;АВТОНОМНЫЕ НЕКОММЕРЧЕСКИЕ ОРГАНИЗАЦИИ;АВНКО
46;98;ИНЫЕ НЕЮРИДИЧЕСКИЕ ЛИЦА;ИНОЕ
47;99;ОРГАНИЗАЦИИ БЕЗ ПРАВ ЮР. ЛИЦА;ОРГ. БЕЗ ЮЛ
;;;
