;Таблицы;
Таблица;Название;Уровень
AV_CONTR;КОНТРОЛЬ ТРАНСПОРТА;10
A_OBJEKT;ОБЪЕКТЫ УЧЕТА;10
A_TO;ТЕХНОЛОГИЧЕСКИЕ ОПЕРАЦИИ;100
BLANK;БЛАНКИ;100
CR_OPR;ОПЕРАЦИИ УГОЛОВНЫХ ДЕЛ;100
EXP_PRN;ПРОТОКОЛ ЭКСПОРТА ИНФОРМАЦИИ;100
FORMATBL;ФОРМАТЫ БЛАНКОВ ДОКУМЕНТОВ;100
LC_P_SUD;РЕШЕНИЯ СУДА;10
OB_PHOTO;ФОТО К ОБЪЕКТАМ;100
OB_P_ROZ;РОЗЫСК;100
OB_P_VN;ВНЕШНОСТЬ;100
O_ADRESS;АДРЕСА;100
O_AVTO;ТРАНСПОРТ;100
O_DELO;ДЕЛА ОПЕРУЧЕТА;3
O_DOC;ДОКУМЕНТЫ;100
O_INFO;ОПЕРАТИВНАЯ ИНФОРМАЦИЯ;3
O_LICO;ЛИЦА;100
O_OPF;ОПФ;10
O_ORGANZ;ОРГАНИЗАЦИИ;100
O_ORUJ;ОРУЖИЕ;100
O_SOBIT;СОБЫТИЯ;10
O_TEL;ТЕЛЕФОННЫЕ НОМЕРА;100
O_VESCH;ВЕЩИ;100
PRNS;СПРАВОЧНИК ПРИНТЕРОВ;0
RPT_MAIN;СОДЕРЖАНИЕ ОТЧЁТОВ ПО БД;100
SEANS;СЕАНСЫ РАБОТЫ;0
SO_ADM;СПИСОК АДМУЧАСТКОВ;100
SO_PSEVD;СПИСОК ПСЕВДОНИМОВ;3
SU_ADM;АДМПРОТОКОЛЫ;100
SU_CRIME;УГОЛОВНЫЕ ДЕЛА;100
SU_DOST;ДОСТАВЛЕНИЯ;100
SU_FILE;ДЕЛА;10
ZONES;НАРЕЗКА НА ЗОНЫ;100
SO_OPER;СПИСОК СОТРУДНИКОВ;10
SU_IVS;ЖУРНАЛ ВОДВОРЕНИЙ В ИВС/СИЗО;3
LC_CHILD;ДЕТИ;100
SNYAT;АКТ ОБ УНИЧТОЖЕНИИ;10
SNYATBL;СНЯТИЕ БЛАНКОВ С УЧЕТА;10
SNYATDOC;СНЯТИЕ ДОКУМЕНТОВ С УЧЕТА;10
SO_POS;СПИСОК ПОСЕЛКОВ В ГОРОДАХ;100
SO_UL;СПИСОК УЛИЦ;100
SO_NASPN;СПИСОК НАСЕЛЕННЫХ ПУНКТОВ;100
SLOVO1;СПРАВОЧНИК РАЙОНОВ;100
S_TPDOC;СПРАВОЧНИК ДОКУМЕНТОВ;100
SLOVO2;СПРАВОЧНИК ГОСУДАРСТВ;100
S_PRAV;ПРАВОВАЯ ОСНОВА;100
ADM_TXT;ФАБУЛА АДМПРОТОКОЛА;100
AV_P_OP;ОПЕРАЦИИ НАД ТРАНСПОРТОМ;100
A_RELAT;СВЯЗИ;10
CHAP_REF;СПРАВОЧНИК РАЗДЕЛОВ;0
DESKMENU;МЕНЮ ОБСТАНОВОК;0
DETAILS;ПРОТОКОЛ СЕАНСА;0
DOST_TXT;ФАБУЛА ДОСТАВЛЕНИЯ;100
DUP_OBJ;ДУБЛИКАТЫ;10
HELP03;ОКОПФ;100
HELP07;СПРАВОЧНИК НАЦИОНАЛЬНОСТЕЙ;100
HELP20;СПРАВОЧНИК ИТУ;100
KT_OB_OK;ОКРАСКА ПО ОБЪЕКТАМ;0
LC_D_PRF;ПРОФУЧЕТ;100
LC_P_OSV;ДАННЫЕ ОБ ОСВОБОЖДЕНИИ;100
LC_P_ROZ;РОЗЫСК ЛИЦА;100
MENUITEM;ЭЛЕМЕНТЫ МЕНЮ;0
OB_D_DOP;ДОПОЛНЕНИЕ К ОБЪЕКТАМ;10
OB_D_FAB;СОДЕРЖАНИЕ;10
OB_P_DTF;ДАКТИЛОКАРТА;100
OB_P_OKR;ОКРАСКА ОБЪЕКТА;10
OI_D_KNT;КОНТРОЛЬ ОПЕРИНФОРМАЦИИ;3
OI_P_REA;РЕАЛИЗАЦИЯ ОИ;3
OR_P_OS;ОСОБЕННОСТИ ОРУЖИЯ;100
PROTOCOL;ПРОТОКОЛ ОБМЕНА ДАННЫМИ;0
PROT_EXP;ЭКСПОРТ В СИМЕНС;0
PSVD_OSB;ХАР-КА ПСЕВДОНИМА;3
PSVD_TXT;ЗАМЕЧАНИЯ;3
RIFLING;НАРЕЗКА АДМУЧАСТКОВ;0
RIGHTS;ПРАВА;0
ROZ_TXT;ФАБУЛА РОЗЫСКА;100
SB_NARK;НАРКОТИКИ ПО СОБЫТИЯМ;10
SB_RESH;ИЗМЕНЕНИЕ РЕШЕНИЯ;10
SB_UCHAS;УЧАСТНИКИ РАССЛЕДОВАНИЯ;10
SB_VESCH;ВЕЩЕСТВ. ДОК-ВА;10
SLOVO3;СПРАВОЧНИК СУБЪЕКТОВ;100
SLV_CLN;ЧИСТКА СЛОВАРЕЙ;0
SO_KLCHK;СПИСОК КЛИЧЕК;100
SPR001;СПРАВОЧНИК КАТЕГОРИЙ ЛИЦ;100
SPR002;СПРАВОЧНИК МЕСТОПРЕБЫВАНИЯ;100
SPR008;СПРАВОЧНИК МОТИВОВ;100
SPR015;СПРАВОЧНИК ЦЕЛЕЙ ОРГАНИЗАЦИЙ;100
SPR031;СПРАВОЧНИК СОСТОЯНИЙ ДОКУМЕНТА;100
SPR033;СПРАВОЧНИК ДЕЛ;100
SPR034;СПРАВОЧНИК ОСНОВАНИЙ ОСВОБОЖД.;100
SPR036;СПРАВОЧНИК ПРИЧИН РОЗЫСКА;100
SPR037;СПРАВОЧНИК МЕР ПРЕСЕЧЕНИЯ;100
SPR038;СПРАВОЧНИК ПОДРАЗДЕЛЕНИЙ;100
SPR039;СПРАВОЧНИК СТАТЕЙ АДМНАРУШЕНИЙ;100
SPR041;СПРАВОЧНИК РЕШЕНИЙ СУДА;100
SPR043;СПРАВОЧНИК ПРИНЯТЫХ МЕР;100
SPR045;СПРАВОЧНИК СВЯЗЕЙ;100
SPR046;СПРАВОЧНИК ЖУРНАЛОВ;100
SPR056;СПРАВОЧНИК ТИПОВ МАШИН;100
SPR057;СПРАВОЧНИК МОДЕЛЕЙ ТС;100
SPR059;СПРАВОЧНИК КУЗОВОВ;100
SPR060;СПРАВОЧНИК ЦВЕТОВ ТС;100
SPR061;СПРАВОЧНИК ОСНОВАНИЙ ОПЕРАЦИЙ;100
SPR062;СПРАВОЧНИК ОРУЖИЯ;100
SPR063;СПРАВОЧНИК ПРОИЗВОДСТВА;100
SPR065;СПРАВОЧНИК УЧЕТА ВЕЩЕЙ;100
SPR066;СПРАВОЧНИК ОСОБЕННОСТЕЙ ВЕЩЕЙ;100
SPR074;СПРАВОЧНИК ВИДОВ РОЗЫСКА;100
SPR077;СПРАВОЧНИК ХАРАКТЕРИСТИК ОПФ;100
SPR078;СПРАВОЧНИК ТЕХНОЛ. ОПЕРАЦИЙ;100
SPR084;СПРАВОЧНИК ПРИЧИН;100
STATIONS;РАБОЧИЕ СТАНЦИИ (ПРОЕКТЫ);0
SUD_STAT;СТАТЬИ ОСУЖДЕНИЯ;100
S_CH_OR;СПРАВОЧНИК ХАРАК-К ОРУЖИЯ;10
S_DOLJN;СПРАВОЧНИК ДОЛЖНОСТЕЙ;100
S_DOU;СПРАВОЧНИК ДОУ;3
S_EVEN;СПРАВОЧНИК ЧЕТНОСТИ;100
S_GRKRV;СПРАВОЧНИК ГРУПП КРОВИ;100
S_HAND;СПРАВОЧНИК РУК;10
S_IST_OP;СПРАВОЧНИК ИСТОЧНИКОВ;3
S_KT_OBJ;СПРАВОЧНИК КАТЕГОРИЙ ОБЪЕКТА;100
S_KT_OKR;СПРАВОЧНИК КАТЕГОРИЙ ОКРАСКИ;100
S_MST_PL;СПРАВОЧНИК МЕСТ ПОЛУЧЕНИЯ ОИ;3
S_NAME;СПРАВОЧНИК ИМЕН;0
S_NAPR;СПРАВОЧНИК МЕСТ НАПРАВЛЕНИЙ;100
S_NARK;СПРАВОЧНИК НАРКОТИКОВ;100
S_OBR;СПРАВОЧНИК ОБРАЗОВАНИЯ;100
S_OKRAS;СПРАВОЧНИК ОКРАСКИ;100
S_OSOB;СПРАВОЧНИК ПОНЯТИЙ ВНЕШНОСТИ;100
S_OTCH;СПРАВОЧНИК ОТЧЕСТВ;0
S_OVD;СПРАВОЧНИК ОВД;100
S_PERV;СПРАВОЧНИК ПЕРВИЧН. ДОКУМЕНТОВ;100
S_POH;"СПРАВОЧНИК ""ПОХОЖ НА""";100
S_POL;СПРАВОЧНИК ПОЛА;100
S_PREKR;СПРАВОЧНИК ОСНОВ. ПРЕКРАЩЕНИЯ;0
S_PRIM;СПРАВОЧНИК ПРИМЕТ;100
S_PSEVD;СПРАВОЧНИК ПОНЯТИЙ ОБ АГЕНТЕ;0
S_RASP;СПРАВОЧНИК РАСПОЛОЖЕНИЙ;100
S_RESH;СПРАВОЧНИК РЕШЕНИЙ;100
S_REZ_OP;СПРАВОЧНИК РЕЗУЛЬТ. РЕАЛИЗАЦ.;0
S_ROST;СПРАВОЧНИК РОСТА;100
S_SLJ;СПРАВОЧНИК ЛИНИЙ СЛУЖБЫ;100
S_SOKR;СПРАВОЧНИК СОКРАЩЕНИЙ;100
S_SOST;СПРАВОЧНИК ИЗЪЯТО/ПОХИЩЕНО;0
S_STAT;СПРАВОЧНИК СТАТЕЙ;100
S_TIPORG;СПРАВОЧНИК ТИПОВ ОРГАНИЗАЦИЙ;100
S_TLS;СПРАВОЧНИК ТЕЛОСЛОЖЕНИЯ;100
